1 input_baseline.asc: UAV Cruise and Target Attack ' UAV ' Apr 20 2022 23:45:25
  0  0 48
time            FSPV1           FSPV2           FSPV3           pdynmc          
mach            lonx            latx            alt             dvbe            
psivgx          thtvgx          SBEG1           SBEG2           SBEG3           
VBEG1           VBEG2           VBEG3           mprop           cg              
thrust          cl_ov_cd        psivgcx         thtvgcx         anx             
avx             alphax          phimvx          phicx           phix            
qq              tip             alp             ancomx          alcomx          
alx             altd            altcom          wp_grdrange     wp_flag         
range_go        STBG1           STBG2           STBG3           time_go         
psisbx          thtsbx          mtargeting      
43.0649         -0.305594       705.202         1788.59         6.78974         
135.568         126.706         0.989722        6               133.683         
1676.92         5.97148         90              0               1.82533         
0               15              -62.3745        -62.7442        -62.3745        
1.26286         2.97602         2.60597         2.82279         -1              
-1.64103        -0.989722       7000            22721.8         0               
0               0               0               0               0               
0               0               0               
10.4            -1.33394        -16.0655        -8.36426        10137.2         
0.593589        14.7202         35.4066         6992.99         185.319         
42.0731         -0.389539       732.516         1813.68         7.0145          
137.557         124.175         1.25992         6               133.683         
1676.92         5.9835          90              0               1.82079         
0               15              -62.5374        -62.9004        -62.5374        
1.32042         2.97968         2.68784         2.91293         -1              
-1.63963        -1.25992        7000            22687.9         0               
0               0               0               0               0               
0               0               0               
10.6            -1.32118        -16.0521        -8.30018        10111.2         
0.592815        14.7205         35.4068         6992.71         185.079         
41.0809         -0.477615       760.222         1838.26         7.29458         
139.504         121.616         1.54279         6               133.683         
1676.93         5.99533         90              0               1.81638         
0               15              -62.6972        -63.0533        -62.6972        
1.38154         2.98326         2.77631         3               -1              
-1.63827        -1.54279        7000            22653.9         0               
0               0               0               0               0               
0               0               0               
10.8            -1.30876        -16.039         -8.23762        10085.8         
0.592057        14.7207         35.4071         6992.37         184.844         
40.0883         -0.569734       788.314         1862.32         7.63247         
141.409         119.028         1.83801         6               133.684         
1676.94         6.00696         90              0               1.81208         
0               15              -62.8539        -63.2028        -62.8539        
1.43054         2.98675         2.86994         3               -1              
-1.63693        -1.83801        7000            22619.7         0               
0               0               0               0               0               
0               0               0               
11              -1.29667        -16.0263        -8.17661        10061.2         
0.591317        14.721          35.4073         6991.97         184.616         
39.0951         -0.665807       816.783         1885.86         8.03061         
143.271         116.413         2.14528         6               133.684         
1676.94         6.01838         90              0               1.8079          
0               15              -63.0074        -63.3488        -63.0074        
1.4798          2.99013         2.96729         3               -1              
-1.63563        -2.14528        7000            22585.2         0               
0               0               0               0               0               
0               0               0               
11.2            -1.28492        -16.0139        -8.11717        10037.2         
0.590595        14.7212         35.4076         6991.51         184.393         
